RBD;GRADO;CD2018
1;Media;INSUFICIENTE
4;Media;MEDIO
5;Media;MEDIO
7;Media;MEDIO-BAJO
8;Media;MEDIO-BAJO
15;Media;MEDIO-BAJO
25;Media;INSUFICIENTE
32;Media;MEDIO
45;Media;MEDIO
50;Media;ALTO
52;Media;MEDIO
56;Media;MEDIO
59;Media;MEDIO
60;Media;MEDIO
67;Media;MEDIO
69;Media;ALTO
72;Media;SIN CATEGORIA: BAJA MATRICULA
78;Media;MEDIO-BAJO
97;Media;MEDIO-BAJO
103;Media;MEDIO-BAJO
106;Media;MEDIO-BAJO
107;Media;MEDIO-BAJO
108;Media;INSUFICIENTE
109;Media;INSUFICIENTE
110;Media;MEDIO
124;Media;MEDIO-BAJO
125;Media;INSUFICIENTE
127;Media;ALTO
129;Media;INSUFICIENTE
130;Media;MEDIO
131;Media;MEDIO-BAJO
132;Media;MEDIO
133;Media;MEDIO
134;Media;INSUFICIENTE
144;Media;INSUFICIENTE
161;Media;MEDIO
178;Media;SIN CATEGORIA: BAJA MATRICULA
191;Media;MEDIO-BAJO
199;Media;MEDIO-BAJO
200;Media;MEDIO-BAJO
208;Media;MEDIO
211;Media;MEDIO-BAJO
217;Media;ALTO
218;Media;MEDIO-BAJO
219;Media;MEDIO
220;Media;MEDIO
253;Media;MEDIO
254;Media;MEDIO
255;Media;MEDIO
256;Media;MEDIO
257;Media;ALTO
270;Media;MEDIO-BAJO (NUEVO)
279;Media;MEDIO-BAJO
280;Media;INSUFICIENTE
283;Media;MEDIO-BAJO
284;Media;INSUFICIENTE
285;Media;INSUFICIENTE
286;Media;INSUFICIENTE
287;Media;MEDIO-BAJO
304;Media;MEDIO
320;Media;MEDIO-BAJO (NUEVO)
329;Media;MEDIO-BAJO (NUEVO)
335;Media;INSUFICIENTE
336;Media;MEDIO-BAJO
337;Media;ALTO
341;Media;MEDIO
342;Media;ALTO
344;Media;ALTO
350;Media;MEDIO-BAJO (NUEVO)
355;Media;MEDIO-BAJO
356;Media;MEDIO
357;Media;MEDIO
358;Media;MEDIO
361;Media;MEDIO
364;Media;MEDIO
365;Media;MEDIO
366;Media;ALTO
367;Media;INSUFICIENTE
371;Media;SIN CATEGORIA: BAJA MATRICULA
372;Media;MEDIO-BAJO
373;Media;MEDIO
379;Media;MEDIO-BAJO
384;Media;MEDIO
392;Media;MEDIO
396;Media;MEDIO-BAJO
399;Media;INSUFICIENTE
400;Media;MEDIO
415;Media;MEDIO
429;Media;MEDIO
430;Media;MEDIO-BAJO
431;Media;MEDIO
433;Media;MEDIO
437;Media;ALTO
438;Media;MEDIO-BAJO
440;Media;MEDIO
441;Media;INSUFICIENTE
448;Media;MEDIO-BAJO
449;Media;MEDIO-BAJO
478;Media;ALTO
479;Media;MEDIO
486;Media;MEDIO-BAJO
516;Media;MEDIO-BAJO
517;Media;ALTO
518;Media;MEDIO-BAJO
526;Media;MEDIO
530;Media;MEDIO-BAJO
531;Media;MEDIO-BAJO
535;Media;MEDIO-BAJO
565;Media;MEDIO
567;Media;ALTO
568;Media;MEDIO
570;Media;ALTO
573;Media;ALTO
574;Media;MEDIO
575;Media;MEDIO
578;Media;MEDIO-BAJO
579;Media;ALTO
580;Media;ALTO
581;Media;MEDIO
582;Media;ALTO
583;Media;ALTO
585;Media;ALTO
587;Media;ALTO
589;Media;MEDIO
590;Media;ALTO
591;Media;ALTO
597;Media;SIN CATEGORIA: BAJA MATRICULA
609;Media;MEDIO
610;Media;INSUFICIENTE
611;Media;MEDIO-BAJO
613;Media;MEDIO
629;Media;MEDIO
646;Media;MEDIO-BAJO
647;Media;MEDIO
648;Media;ALTO
649;Media;MEDIO
656;Media;MEDIO
664;Media;MEDIO
665;Media;MEDIO-BAJO
690;Media;MEDIO
701;Media;INSUFICIENTE
704;Media;ALTO
705;Media;MEDIO
763;Media;MEDIO
766;Media;ALTO
767;Media;MEDIO
768;Media;MEDIO
769;Media;ALTO
770;Media;ALTO
772;Media;MEDIO
774;Media;MEDIO
799;Media;MEDIO-BAJO
802;Media;MEDIO-BAJO
845;Media;MEDIO
967;Media;MEDIO
968;Media;MEDIO-BAJO
982;Media;SIN CATEGORIA: BAJA MATRICULA
987;Media;MEDIO
988;Media;MEDIO-BAJO
1013;Media;MEDIO-BAJO
1036;Media;MEDIO
1048;Media;MEDIO
1119;Media;ALTO
1121;Media;INSUFICIENTE
1123;Media;MEDIO-BAJO
1148;Media;MEDIO
1149;Media;MEDIO-BAJO
1164;Media;MEDIO
