RBD;Nombre Establecimiento;Región;Comuna;Dependencia;Matrícula Media 2017;Categoría Desempeño 2018
5;JOVINA NARANJO FERNANDEZ;de Arica y Parinacota;ARICA;Municipal;245;MEDIO
8;COLEGIO INTEGRADO EDUARDO FREI MONTALVA;de Arica y Parinacota;ARICA;Municipal;248;MEDIO
9;ESCUELA REPUBLICA DE ISRAEL;de Arica y Parinacota;ARICA;Municipal;1325;MEDIO
10;ESCUELA REPUBLICA DE FRANCIA;de Arica y Parinacota;ARICA;Municipal;134;MEDIO-BAJO
11;ESC. GRAL. PEDRO LAGOS MARCHANT;de Arica y Parinacota;ARICA;Municipal;353;MEDIO
12;ESCUELA GRAL JOSE MIGUEL CARRERA;de Arica y Parinacota;ARICA;Municipal;279;ALTO
13;ESCUELA MANUEL RODRIGUEZ ERDOYZA;de Arica y Parinacota;ARICA;Municipal;231;MEDIO
14;ESCUELA ROMULO J. PENA MATURANA;de Arica y Parinacota;ARICA;Municipal;192;MEDIO-BAJO
15;LICEO ARTISTICO DR. JUAN NOE CREVANI;de Arica y Parinacota;ARICA;Municipal;254;MEDIO-BAJO
16;ESCUELA REGIMIENTO RANCAGUA;de Arica y Parinacota;ARICA;Municipal;227;MEDIO-BAJO
17;ESCUELA SUBTTE. LUIS CRUZ MARTINEZ;de Arica y Parinacota;ARICA;Municipal;255;MEDIO
18;ESC. COMTE. JUAN JOSE SAN MARTIN;de Arica y Parinacota;ARICA;Municipal;286;MEDIO-BAJO
19;ESC. HUMBERTO VALENZUELA GARCIA;de Arica y Parinacota;ARICA;Municipal;285;MEDIO
20;ESCUELA TUCAPEL;de Arica y Parinacota;ARICA;Municipal;373;MEDIO
22;ESCUELA GABRIELA MISTRAL;de Arica y Parinacota;ARICA;Municipal;824;MEDIO-BAJO
25;COLEGIO CENTENARIO DE ARICA;de Arica y Parinacota;ARICA;Municipal;422;MEDIO-BAJO
26;ESCUELA REPUBLICA DE ARGENTINA;de Arica y Parinacota;ARICA;Municipal;148;MEDIO
27;ESCUELA ESMERALDA;de Arica y Parinacota;ARICA;Municipal;225;MEDIO
28;ESCUELA RICARDO SILVA ARRIAGADA;de Arica y Parinacota;ARICA;Municipal;287;ALTO
29;ESCUELA AMERICA;de Arica y Parinacota;ARICA;Municipal;435;MEDIO
31;ESCUELA DARIO SALAS DIAZ;de Arica y Parinacota;ARICA;Municipal;342;ALTO
32;LICEO AGRICOLA JOSE ABELARDO NUNEZ M.;de Arica y Parinacota;ARICA;Municipal;490;MEDIO
33;ESCUELA CARLOS CONDELL DE LA HAZA;de Arica y Parinacota;ARICA;Municipal;161;ALTO
35;ESCUELA GRAL. MANUEL BAQUEDANO;de Arica y Parinacota;ARICA;Municipal;80;MEDIO
36;ESCUELA IGNACIO CARRERA PINTO;de Arica y Parinacota;ARICA;Municipal;245;MEDIO
38;ESCUELA ESPAÑA;de Arica y Parinacota;ARICA;Municipal;436;ALTO
39;ESCUELA PAMPA ALGODONAL;de Arica y Parinacota;ARICA;Municipal;65;INSUFICIENTE
41;ESCUELA VALLE DE CHACA;de Arica y Parinacota;ARICA;Municipal;27;SIN CATEGORIA: BAJA MATRICULA
42;ESCUELA MOLINOS LLUTA;de Arica y Parinacota;ARICA;Municipal;20;SIN CATEGORIA: BAJA MATRICULA
45;COLEGIO ITALIANO SANTA ANA;de Arica y Parinacota;ARICA;P. Subvencionado;554;MEDIO
50;COLEGIO ADVENTISTA DE ARICA;de Arica y Parinacota;ARICA;P. Subvencionado;405;ALTO
52;LICEO DOMINGO SANTA MARIA;de Arica y Parinacota;ARICA;P. Subvencionado;1792;ALTO
56;COLEGIO SAN MARCOS DE ARICA;de Arica y Parinacota;ARICA;P. Subvencionado;606;MEDIO
59;COLEGIO SAN JORGE;de Arica y Parinacota;ARICA;P. Pagado;330;MEDIO
60;COLEGIO ALEMAN DE ARICA;de Arica y Parinacota;ARICA;P. Subvencionado;507;MEDIO
67;ABRAHAM LINCOLN SCHOOL;de Arica y Parinacota;ARICA;P. Subvencionado;436;MEDIO
69;JUNIOR COLLEGE;de Arica y Parinacota;ARICA;P. Pagado;470;ALTO
70;ESCUELA VALLE DE ESQUINA;de Arica y Parinacota;CAMARONES;Municipal;8;SIN CATEGORIA: BAJA MATRICULA
72;LICEO  VALLE DE CODPA;de Arica y Parinacota;CAMARONES;Municipal;32;SIN CATEGORIA: BAJA MATRICULA
73;ESCUELA VALLE DE COBIJA;de Arica y Parinacota;CAMARONES;Municipal;2;SIN CATEGORIA: BAJA MATRICULA
74;ESCUELA VALLE DE CAMARONES;de Arica y Parinacota;CAMARONES;Municipal;8;SIN CATEGORIA: BAJA MATRICULA
75;ESCUELA VALLE DE GUANACAGUA;de Arica y Parinacota;CAMARONES;Municipal;7;SIN CATEGORIA: BAJA MATRICULA
76;ESCUELA VALLE DE CUYA;de Arica y Parinacota;CAMARONES;Municipal;11;SIN CATEGORIA: BAJA MATRICULA
78;LICEO GRANADEROS;de Arica y Parinacota;PUTRE;Municipal;147;MEDIO-BAJO
79;ESCUELA EL MARQUEZ;de Arica y Parinacota;PUTRE;Municipal;24;SIN CATEGORIA: BAJA MATRICULA
81;ESCUELA PAYACHATAS;de Arica y Parinacota;PUTRE;Municipal;3;SIN CATEGORIA: BAJA MATRICULA
82;ESCUELA SAN FRANCISCO DE ASIS;de Arica y Parinacota;PUTRE;Municipal;2;SIN CATEGORIA: BAJA MATRICULA
83;ESCUELA COTA COTANI;de Arica y Parinacota;PUTRE;Municipal;6;SIN CATEGORIA: BAJA MATRICULA
84;ESCUELA LOS ALAMOS;de Arica y Parinacota;PUTRE;Municipal;2;SIN CATEGORIA: BAJA MATRICULA
86;ESCUELA SAN SANTIAGO DE BELEN;de Arica y Parinacota;PUTRE;Municipal;4;SIN CATEGORIA: BAJA MATRICULA
87;ESCUELA ANCOLACANE;de Arica y Parinacota;GENERAL LAGOS;Municipal;1;SIN CATEGORIA: BAJA MATRICULA
88;ESCUELA ALCERRECA;de Arica y Parinacota;GENERAL LAGOS;Municipal;1;SIN CATEGORIA: BAJA MATRICULA
90;ESCUELA INTERNADO VISVIRI;de Arica y Parinacota;GENERAL LAGOS;Municipal;26;SIN CATEGORIA: BAJA MATRICULA
91;ESCUELA COSAPILLA;de Arica y Parinacota;GENERAL LAGOS;Municipal;5;SIN CATEGORIA: BAJA MATRICULA
92;ESCUELA CHISLLUMA;de Arica y Parinacota;GENERAL LAGOS;Municipal;3;SIN CATEGORIA: BAJA MATRICULA
93;ESCUELA CHUJLLUTA;de Arica y Parinacota;GENERAL LAGOS;Municipal;5;SIN CATEGORIA: BAJA MATRICULA
94;ESCUELA GUACOYO;de Arica y Parinacota;GENERAL LAGOS;Municipal;1;SIN CATEGORIA: BAJA MATRICULA
95;ESCUELA COLPITAS;de Arica y Parinacota;GENERAL LAGOS;Municipal;1;SIN CATEGORIA: BAJA MATRICULA
103;ESC.EDUC.GRAL.BAS.Y DES.ART.VIOLETA PARRA;de Tarapacá;IQUIQUE;Municipal;367;MEDIO-BAJO
110;LICEO BICENTENARIO DOMINGO SANTA MARIA DE IQQ.;de Tarapacá;IQUIQUE;Municipal;544;MEDIO-BAJO
111;ESCUELA GABRIELA MISTRAL;de Tarapacá;IQUIQUE;Municipal;472;MEDIO-BAJO
112;ESCUELA EDUARDO LLANOS;de Tarapacá;IQUIQUE;Municipal;547;MEDIO-BAJO
113;ESCUELA ALMIRANTE PATRICIO LYNCH;de Tarapacá;IQUIQUE;Municipal;767;INSUFICIENTE
114;ESCUELA PLACIDO VILLARROEL;de Tarapacá;IQUIQUE;Municipal;449;MEDIO-BAJO
116;COLEGIO REPUBLICA DE CROACIA;de Tarapacá;IQUIQUE;Municipal;485;MEDIO-BAJO
117;ESCUELA PAULA JARAQUEMADA ALQUIZAR;de Tarapacá;IQUIQUE;Municipal;405;MEDIO
119;ESCUELA CENTENARIO;de Tarapacá;IQUIQUE;Municipal;362;INSUFICIENTE
122;ESCUELA THILDA PORTILLO OLIVARES;de Tarapacá;IQUIQUE;Municipal;292;INSUFICIENTE
123;COLEGIO ESPANA;de Tarapacá;IQUIQUE;Municipal;327;INSUFICIENTE
125;ESCUELA PROFESOR MANUEL CASTRO RAMOS;de Tarapacá;IQUIQUE;Municipal;739;MEDIO-BAJO
126;COLEGIO REPUBLICA DE ITALIA;de Tarapacá;IQUIQUE;Municipal;534;INSUFICIENTE
127;LICEO MARIA AUXILIADORA;de Tarapacá;IQUIQUE;P. Subvencionado;630;MEDIO
129;LICEO SUPERIOR GABRIELA MISTRAL;de Tarapacá;IQUIQUE;P. Subvencionado;68;MEDIO-BAJO
130;COLEGIO NORTH COLLEGE;de Tarapacá;IQUIQUE;P. Subvencionado;276;MEDIO
131;LICEO PARTICULAR MIXTO ESCASCE;de Tarapacá;IQUIQUE;P. Subvencionado;178;MEDIO-BAJO
132;LICEO ACADEMIA IQUIQUE;de Tarapacá;IQUIQUE;P. Subvencionado;1039;ALTO
133;COLEGIO ADVENTISTA DE IQUIQUE;de Tarapacá;IQUIQUE;P. Subvencionado;508;MEDIO
134;LICEO ATENEA;de Tarapacá;IQUIQUE;P. Subvencionado;217;INSUFICIENTE
144;COLEGIO IQUIQUE YOUNG SCHOOL;de Tarapacá;IQUIQUE;P. Subvencionado;236;MEDIO-BAJO
154;ESCUELA BASICA FRONTERIZA;de Tarapacá;HUARA;Municipal;25;SIN CATEGORIA: BAJA MATRICULA
156;ESCUELA PISAGUA;de Tarapacá;HUARA;Municipal;52;MEDIO
158;ESCUELA CHIAPA;de Tarapacá;HUARA;Municipal;1;SIN CATEGORIA: BAJA MATRICULA
159;ESCUELA JAINA;de Tarapacá;HUARA;Municipal;3;SIN CATEGORIA: BAJA MATRICULA
160;ESCUELA PACHICA;de Tarapacá;HUARA;Municipal;19;SIN CATEGORIA: BAJA MATRICULA
161;LICEO DE HUARA;de Tarapacá;HUARA;Municipal;185;INSUFICIENTE
162;ESCUELA SIBAYA;de Tarapacá;HUARA;Municipal;42;MEDIO
165;ESCUELA CHUSMIZA;de Tarapacá;HUARA;Municipal;5;SIN CATEGORIA: BAJA MATRICULA
167;ESCUELA CAMINA;de Tarapacá;CAMINA;Municipal;81;ALTO
168;ESCUELA CUISAMA;de Tarapacá;CAMINA;Municipal;4;SIN CATEGORIA: BAJA MATRICULA
169;ESCUELA QUISTAGAMA;de Tarapacá;CAMINA;Municipal;13;SIN CATEGORIA: BAJA MATRICULA
170;ESCUELA NAMA;de Tarapacá;CAMINA;Municipal;5;SIN CATEGORIA: BAJA MATRICULA
171;ESCUELA APAMILCA;de Tarapacá;CAMINA;Municipal;6;SIN CATEGORIA: BAJA MATRICULA
172;ESCUELA CHAPIQUILTA;de Tarapacá;CAMINA;Municipal;8;SIN CATEGORIA: BAJA MATRICULA
173;ESCUELA MOQUELLA;de Tarapacá;CAMINA;Municipal;19;SIN CATEGORIA: BAJA MATRICULA
174;ESCUELA FRANCIA;de Tarapacá;CAMINA;Municipal;14;SIN CATEGORIA: BAJA MATRICULA
175;ESCUELA YALA YALA;de Tarapacá;CAMINA;Municipal;1;SIN CATEGORIA: BAJA MATRICULA
177;ESCUELA BASICA CARIQUIMA;de Tarapacá;COLCHANE;Municipal;7;SIN CATEGORIA: BAJA MATRICULA
178;LICEO TECNICO PROFESIONAL COLCHANE;de Tarapacá;COLCHANE;Municipal;80;MEDIO-BAJO
179;ESCUELA BASICA MAUQUE;de Tarapacá;COLCHANE;Municipal;2;SIN CATEGORIA: BAJA MATRICULA
185;ESCUELA BASICA PISIGA-CHOQUE;de Tarapacá;COLCHANE;Municipal;3;SIN CATEGORIA: BAJA MATRICULA
186;ESCUELA BASICA ENQUELGA;de Tarapacá;COLCHANE;Municipal;1;SIN CATEGORIA: BAJA MATRICULA
