RBD;HH_A;HH_UTP;HH_PDIR;HH_DIR;HH_OES;HH_OF;HH_JUTP;HH_IG;HH_OR;HH_DIR_SOST;HH_TP_SOST;HH_SUP_SOST;HH_SUBDIR;HH_PROF_ENC;HH_EDUC_TRAD;HH_TOT
1;1852;0;0;44;14;0;0;44;44;0;0;0;0;0;0;1998
2;311;0;0;44;90;0;0;0;0;0;0;0;0;0;0;445
3;829;0;0;44;0;0;44;0;0;0;0;0;0;0;0;917
4;1843;0;0;44;420;0;44;88;132;0;0;0;0;0;0;2571
5;2161;88;88;44;94;0;0;44;44;0;0;0;0;0;0;2563
7;2793;61;0;44;49;0;88;44;88;44;124;0;0;0;0;3335
8;1417;0;44;44;152;0;44;88;88;0;0;0;0;0;0;1877
9;2975;0;0;44;139;0;0;88;74;0;84;0;0;0;0;3404
10;362;88;0;44;181;0;0;0;0;0;0;0;0;0;14;689
11;1056;0;0;44;84;0;44;88;44;0;0;0;0;0;45;1405
12;761;0;0;44;90;0;44;44;44;0;0;0;0;0;0;1027
13;586;0;0;44;163;0;44;44;44;0;0;0;0;0;0;925
14;699;0;0;44;78;0;44;0;44;0;0;0;0;0;0;909
15;1693;44;44;44;121;0;0;44;44;0;0;0;0;0;0;2034
16;699;0;44;44;154;0;44;0;44;0;0;0;0;0;0;1029
17;931;0;0;44;0;0;44;44;44;0;0;0;0;0;0;1107
18;978;0;0;44;94;0;44;44;44;0;40;0;0;0;0;1288
19;743;0;0;44;30;0;44;44;44;0;0;0;0;0;66;1015
20;1312;0;0;44;267;0;44;44;44;0;0;0;0;0;0;1755
21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
22;2628;0;0;44;0;0;44;88;44;0;0;0;0;0;0;2848
25;1642;44;0;44;207;0;44;44;88;0;0;0;0;0;0;2113
26;642;0;0;44;64;0;0;44;0;0;0;0;0;0;0;794
27;696;0;0;44;0;0;44;44;0;0;0;0;0;0;0;828
28;1270;0;0;44;76;0;84;88;44;0;0;0;0;0;0;1606
29;1547;0;0;44;0;0;44;44;44;0;0;0;0;0;0;1723
30;777;0;0;44;0;0;32;0;0;0;0;0;0;0;0;853
31;910;0;0;44;206;0;44;44;44;0;0;0;0;0;0;1292
32;1653;0;0;44;85;0;0;88;44;0;0;0;0;0;0;1914
33;602;0;0;44;40;0;44;0;0;0;0;0;0;0;0;730
35;217;0;0;0;0;0;0;0;0;0;0;0;0;44;0;261
36;793;44;0;44;177;0;0;88;44;0;0;0;0;0;0;1190
38;1280;0;0;44;42;0;44;0;44;44;0;0;0;0;0;1498
39;154;0;0;0;0;0;0;0;0;0;0;0;0;44;0;198
41;60;0;0;0;0;0;0;0;0;0;0;0;0;44;0;104
42;49;0;0;0;0;0;0;0;0;0;0;0;0;44;0;93
43;30;20;0;30;0;0;0;0;0;0;0;0;0;0;0;80
44;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
45;1440;0;0;44;150;0;88;44;0;0;0;0;44;0;0;1810
46;30;0;0;30;0;0;0;0;0;0;0;0;0;0;0;60
47;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
