RBD;MAT_HOM_TOT;MAT_MUJ_TOT;MAT_TOTAL
1;379;295;674
2;99;86;185
3;396;115;511
4;471;540;1011
5;519;471;990
7;681;463;1144
8;358;292;650
9;807;727;1534
10;2;160;162
11;222;147;369
12;180;143;323
13;158;105;263
14;162;129;291
15;194;215;409
16;168;77;245
17;176;176;352
18;181;136;317
19;186;140;326
20;268;203;471
21;0;0;0
22;548;484;1032
25;383;284;667
26;91;89;180
27;162;110;272
28;378;375;753
29;288;235;523
30;107;62;169
31;214;205;419
32;382;334;716
33;110;98;208
35;57;63;120
36;124;147;271
38;271;264;535
39;44;35;79
41;12;14;26
42;11;13;24
43;13;22;35
44;0;0;0
45;0;927;927
46;0;0;0
47;0;0;0
49;18;18;36
50;290;290;580
51;0;0;0
52;2016;1992;4008
55;75;66;141
56;485;493;978
57;0;0;0
58;14;22;36
59;267;248;515
60;436;466;902
65;0;0;0
66;10;14;24
67;302;305;607
69;378;425;803
70;4;5;9
72;33;23;56
73;2;0;2
74;7;5;12
75;2;0;2
76;4;5;9
78;172;100;272
79;8;6;14
81;2;1;3
82;2;0;2
83;3;2;5
84;1;0;1
86;5;5;10
87;1;0;1
88;1;1;2
89;1;1;2
90;13;15;28
91;4;1;5
92;1;0;1
93;4;2;6
94;3;1;4
95;0;1;1
97;207;168;375
98;0;0;0
100;0;0;0
101;0;0;0
102;66;43;109
103;216;308;524
105;42;20;62
106;229;97;326
107;228;220;448
108;282;224;506
109;72;143;215
110;477;477;954
111;344;316;660
112;377;276;653
113;551;396;947
114;268;244;512
115;0;0;0
116;327;309;636
117;341;281;622
119;314;232;546
120;0;0;0
122;189;180;369
123;303;296;599
124;565;480;1045
125;580;507;1087
126;378;349;727
127;1;913;914
128;0;0;0
129;108;97;205
130;196;179;375
131;202;181;383
132;879;945;1824
133;383;371;754
134;185;166;351
136;4;9;13
138;0;0;0
139;15;12;27
143;0;0;0
144;203;169;372
145;0;0;0
147;0;0;0
148;0;0;0
150;0;0;0
151;0;0;0
154;17;13;30
156;31;20;51
158;0;1;1
159;2;4;6
160;17;15;32
161;193;183;376
162;17;14;31
165;3;3;6
167;47;57;104
168;2;2;4
169;7;6;13
170;2;1;3
171;2;2;4
172;5;3;8
173;9;10;19
174;8;9;17
175;2;2;4
177;6;1;7
178;57;61;118
179;2;0;2
184;0;0;0
185;1;2;3
186;0;1;1
187;163;138;301
188;83;80;163
191;332;381;713
192;19;29;48
193;320;328;648
195;129;131;260
196;4;3;7
198;49;42;91
199;336;332;668
200;294;258;552
201;306;230;536
203;319;276;595
204;286;281;567
205;260;222;482
206;224;222;446
207;45;19;64
208;584;624;1208
209;0;0;0
210;331;294;625
211;148;144;292
214;6;9;15
217;495;685;1180
218;211;185;396
219;598;248;846
220;688;475;1163
222;326;405;731
223;422;237;659
224;533;472;1005
225;539;514;1053
226;430;420;850
227;851;661;1512
228;285;279;564
229;327;240;567
230;317;288;605
231;368;342;710
232;320;252;572
234;0;0;0
235;0;0;0
236;92;111;203
237;142;161;303
238;141;79;220
239;346;297;643
240;346;271;617
241;102;93;195
243;6;10;16
244;149;131;280
245;58;64;122
246;6;7;13
248;2;3;5
249;0;0;0
251;0;0;0
252;60;25;85
253;432;425;857
254;6;962;968
255;560;544;1104
256;896;794;1690
257;558;492;1050
259;60;61;121
261;26;27;53
262;99;108;207
265;71;67;138
268;20;18;38
269;460;399;859
270;128;130;258
271;6;5;11
273;16;13;29
274;10;7;17
275;1;1;2
276;0;0;0
277;9;25;34
279;1579;533;2112
280;738;883;1621
282;9;3;12
283;257;1236;1493
284;524;462;986
285;538;641;1179
286;396;490;886
287;438;648;1086
288;637;601;1238
289;322;268;590
291;651;619;1270
292;364;340;704
293;717;637;1354
294;428;408;836
296;341;335;676
297;322;276;598
298;330;315;645
299;0;0;0
301;312;263;575
302;270;224;494
303;253;263;516
304;727;748;1475
305;646;548;1194
306;186;146;332
307;133;136;269
308;0;0;0
310;288;279;567
311;149;76;225
312;388;314;702
313;605;580;1185
315;276;244;520
316;225;190;415
317;567;456;1023
318;143;117;260
319;502;440;942
320;437;442;879
321;0;0;0
322;300;254;554
324;244;214;458
326;285;230;515
327;0;0;0
329;305;295;600
330;113;85;198
332;279;286;565
333;109;139;248
335;283;240;523
336;556;696;1252
337;454;485;939
340;72;66;138
341;422;455;877
342;622;670;1292
343;316;365;681
344;420;486;906
349;23;18;41
350;337;403;740
352;22;32;54
353;0;0;0
354;13;5;18
355;186;117;303
356;514;555;1069
357;695;223;918
358;24;432;456
361;418;418;836
363;0;0;0
364;328;368;696
365;390;419;809
366;523;510;1033
367;615;534;1149
368;432;430;862
369;10;10;20
370;88;71;159
371;62;48;110
372;276;239;515
373;251;309;560
374;230;157;387
375;271;284;555
377;13;15;28
378;0;0;0
379;346;319;665
380;175;137;312
381;86;66;152
382;180;158;338
383;53;23;76
384;257;254;511
385;0;0;0
386;359;321;680
387;19;20;39
388;0;0;0
389;0;0;0
390;383;358;741
391;0;0;0
392;317;352;669
396;311;422;733
397;100;15;115
399;473;473;946
400;397;569;966
401;463;417;880
402;0;0;0
403;386;342;728
404;100;61;161
405;322;295;617
406;406;322;728
407;240;193;433
408;631;533;1164
410;344;267;611
411;352;248;600
413;145;141;286
415;494;558;1052
416;428;292;720
417;426;353;779
418;662;558;1220
419;458;378;836
420;422;389;811
421;609;472;1081
423;135;113;248
427;219;202;421
429;1029;1034;2063
430;1;1085;1086
431;0;985;985
433;534;492;1026
434;416;401;817
435;0;0;0
437;654;519;1173
438;214;173;387
439;1;3;4
440;545;602;1147
441;157;140;297
442;239;222;461
444;236;205;441
445;21;19;40
446;16;13;29
447;1;6;7
448;366;400;766
449;472;106;578
450;116;103;219
452;204;185;389
453;422;345;767
454;458;409;867
455;160;155;315
456;47;37;84
458;185;162;347
459;376;314;690
461;172;160;332
462;184;172;356
463;86;69;155
464;338;294;632
466;0;0;0
467;6;3;9
468;9;10;19
469;25;17;42
471;23;22;45
472;0;0;0
475;0;0;0
476;33;35;68
477;0;0;0
478;468;719;1187
479;467;506;973
480;0;0;0
481;212;224;436
482;7;7;14
483;24;11;35
484;31;27;58
485;4;6;10
486;259;197;456
487;230;226;456
489;215;191;406
490;10;7;17
492;156;133;289
493;106;101;207
495;4;5;9
496;8;8;16
497;4;7;11
498;0;2;2
499;109;109;218
500;5;3;8
501;0;0;0
502;5;7;12
503;2;1;3
504;4;7;11
505;0;0;0
506;3;1;4
508;1;2;3
509;1;0;1
511;0;0;0
512;0;0;0
513;0;0;0
514;3;4;7
515;0;0;0
516;275;296;571
517;401;422;823
518;1;442;443
519;490;496;986
520;0;0;0
521;209;141;350
522;6;498;504
523;164;115;279
525;334;158;492
526;301;301;602
527;393;159;552
528;7;346;353
529;74;51;125
530;477;398;875
531;237;212;449
532;431;358;789
533;24;9;33
534;248;171;419
535;266;254;520
536;87;53;140
537;18;14;32
539;78;66;144
540;50;52;102
542;67;74;141
543;73;69;142
544;34;3;37
546;46;50;96
548;72;64;136
549;2;2;4
550;4;0;4
551;57;67;124
552;3;2;5
553;0;0;0
554;4;1;5
556;112;77;189
557;110;119;229
558;15;5;20
559;0;0;0
560;86;73;159
561;13;12;25
562;113;85;198
563;2;2;4
564;3;6;9
565;454;402;856
566;173;157;330
567;540;653;1193
568;276;275;551
570;258;344;602
571;23;25;48
573;298;386;684
574;1099;0;1099
575;0;863;863
577;0;0;0
578;132;100;232
579;657;545;1202
580;669;713;1382
581;373;364;737
582;355;339;694
583;407;646;1053
584;0;0;0
585;409;395;804
587;123;129;252
589;173;149;322
590;441;497;938
591;400;365;765
592;0;0;0
594;54;35;89
597;178;158;336
598;22;20;42
599;50;49;99
600;0;0;0
601;0;0;0
602;63;78;141
604;13;14;27
606;15;7;22
607;0;0;0
608;19;11;30
609;287;406;693
610;662;89;751
611;161;137;298
612;165;128;293
613;381;458;839
614;168;135;303
615;119;104;223
616;360;331;691
617;128;116;244
618;314;240;554
620;189;197;386
621;101;84;185
623;36;23;59
624;36;16;52
625;132;71;203
626;337;307;644
628;119;80;199
629;413;345;758
630;181;160;341
631;199;209;408
632;206;185;391
634;23;26;49
635;7;7;14
637;133;127;260
638;0;3;3
639;29;22;51
640;3;0;3
641;32;23;55
642;87;61;148
643;69;60;129
644;16;6;22
645;5;0;5
646;867;926;1793
647;232;189;421
648;445;675;1120
649;553;699;1252
650;168;205;373
654;0;0;0
655;203;206;409
656;178;101;279
657;121;101;222
658;112;128;240
659;4;4;8
660;0;0;0
661;8;10;18
662;2;5;7
663;0;0;0
664;461;480;941
665;288;222;510
666;154;134;288
668;210;168;378
669;78;80;158
671;72;58;130
672;82;84;166
673;115;73;188
674;5;3;8
675;0;0;0
676;8;3;11
678;19;17;36
680;34;29;63
681;16;7;23
682;63;54;117
683;10;8;18
685;0;0;0
686;30;26;56
687;4;4;8
688;11;11;22
689;3;1;4
690;453;515;968
691;100;116;216
692;73;101;174
693;3;12;15
694;60;51;111
695;6;2;8
696;11;6;17
697;3;1;4
699;8;4;12
701;194;198;392
704;379;599;978
705;1015;199;1214
706;447;240;687
707;0;646;646
708;192;146;338
709;169;118;287
710;139;105;244
711;242;146;388
712;362;264;626
713;173;151;324
714;323;247;570
715;99;98;197
716;213;197;410
718;73;75;148
719;79;33;112
721;318;263;581
722;128;115;243
723;8;6;14
724;3;2;5
725;88;79;167
726;2;0;2
727;2;3;5
728;5;4;9
729;50;44;94
730;71;76;147
731;22;22;44
732;0;0;0
733;34;24;58
735;0;2;2
736;1;6;7
737;88;80;168
738;0;0;0
739;0;0;0
740;54;57;111
741;0;0;0
743;31;27;58
744;9;6;15
745;2;2;4
746;5;1;6
747;56;64;120
749;2;1;3
750;49;41;90
752;3;1;4
753;70;76;146
754;4;6;10
755;2;1;3
756;6;6;12
757;46;47;93
758;1;2;3
759;10;12;22
760;3;7;10
761;0;0;0
762;10;9;19
763;621;575;1196
766;810;922;1732
767;257;219;476
768;0;994;994
769;687;526;1213
770;252;306;558
771;1;0;1
772;333;121;454
773;44;36;80
774;120;159;279
775;8;7;15
776;3;1;4
777;5;5;10
778;13;6;19
780;9;14;23
783;2;5;7
784;3;2;5
785;2;0;2
786;1;1;2
787;3;2;5
788;4;1;5
789;5;3;8
790;5;5;10
791;0;0;0
792;2;2;4
793;21;33;54
795;4;4;8
797;3;4;7
798;389;392;781
799;338;323;661
800;78;79;157
802;260;236;496
803;106;83;189
804;86;90;176
805;15;10;25
806;3;14;17
807;2;3;5
808;0;0;0
809;6;5;11
810;2;2;4
811;0;0;0
812;4;7;11
813;3;5;8
814;8;8;16
816;2;3;5
817;12;7;19
818;1;7;8
819;5;8;13
820;10;4;14
821;92;80;172
822;55;58;113
823;6;8;14
824;3;4;7
825;5;2;7
826;3;3;6
827;100;113;213
828;0;0;0
830;5;6;11
831;0;0;0
833;47;55;102
834;0;0;0
835;5;5;10
836;2;3;5
837;36;25;61
838;19;18;37
839;21;20;41
840;0;0;0
841;0;0;0
842;0;0;0
843;2;3;5
844;12;12;24
845;254;246;500
847;360;382;742
848;165;181;346
849;58;51;109
850;16;22;38
851;46;47;93
852;61;45;106
853;0;0;0
854;0;0;0
856;0;0;0
857;35;24;59
859;4;0;4
861;0;0;0
862;2;3;5
864;3;0;3
865;4;8;12
866;0;0;0
867;0;0;0
868;8;5;13
869;5;6;11
870;9;12;21
871;17;13;30
872;1;3;4
874;1;1;2
875;3;3;6
876;38;34;72
878;0;0;0
879;9;6;15
881;0;0;0
882;0;0;0
883;0;2;2
884;2;0;2
885;0;0;0
886;3;0;3
887;4;6;10
888;11;7;18
889;1;2;3
890;2;1;3
891;6;2;8
892;22;10;32
893;0;0;0
896;7;4;11
897;222;189;411
898;0;0;0
899;0;1;1
900;8;6;14
901;0;0;0
902;3;2;5
904;1;3;4
905;41;42;83
906;3;1;4
907;3;2;5
908;41;38;79
909;7;4;11
910;19;20;39
911;2;0;2
912;0;0;0
914;2;0;2
915;41;29;70
916;2;0;2
917;0;1;1
919;0;0;0
920;0;0;0
921;0;0;0
922;1;0;1
923;3;1;4
924;23;25;48
925;2;3;5
926;0;0;0
928;6;2;8
929;50;49;99
931;8;5;13
932;63;54;117
933;1;0;1
934;2;5;7
935;10;11;21
936;3;3;6
937;47;47;94
939;2;3;5
940;3;6;9
941;0;0;0
942;0;0;0
943;7;3;10
945;20;10;30
946;104;93;197
947;101;59;160
948;1;0;1
949;2;3;5
950;6;2;8
951;2;1;3
952;0;1;1
953;34;20;54
954;1;6;7
955;1;2;3
956;3;2;5
957;4;3;7
959;222;192;414
960;2;2;4
962;0;2;2
963;3;2;5
964;143;112;255
967;226;308;534
968;520;177;697
969;337;230;567
970;155;40;195
971;0;449;449
972;130;102;232
973;85;52;137
974;51;36;87
976;49;64;113
977;26;27;53
978;6;6;12
979;0;0;0
981;8;6;14
982;240;180;420
983;0;0;0
984;5;5;10
985;14;6;20
986;3;1;4
987;530;598;1128
988;81;224;305
990;100;101;201
991;1;1;2
993;10;6;16
994;3;1;4
995;22;10;32
996;1;2;3
997;0;0;0
998;2;3;5
999;1;3;4
1000;0;0;0
1001;5;3;8
1002;2;2;4
1003;0;0;0
1004;4;6;10
1005;0;2;2
1006;29;18;47
1007;0;0;0
1008;2;1;3
1010;3;2;5
1011;1;0;1
1013;157;156;313
1014;185;152;337
1015;115;81;196
