RBD;COD_REG_RBD;COD_COM_RBD;COD_DEPE2;RURAL_RBD;ESTADO_ESTAB;COD_ENSE2;APR_HOM_TO;APR_MUJ_TO;REP_HOM_TO;REP_MUJ_TO;RET_HOM_TO;RET_MUJ_TO;TRA_HOM_TO;TRA_MUJ_TO;PROM_ASIS
3;15;15101;1;1;1;3;272;42;23;9;100;45;34;3;100
3;15;15101;1;1;1;3;70;24;7;7;22;10;22;4;100
3;15;15101;1;1;1;6;7;0;3;0;0;0;2;0;100
92;15;15202;1;1;1;2;1;0;0;0;0;0;0;0;100
168;1;1402;1;1;1;2;2;2;0;0;0;0;0;0;100
172;1;1402;1;1;1;2;4;3;0;0;0;0;2;0;100
275;2;2203;1;1;1;2;1;1;0;0;0;0;0;0;100
282;2;2101;1;0;1;3;2;1;0;0;1;1;0;0;100
282;2;2101;1;0;1;6;6;2;0;0;4;1;1;0;100
550;4;4101;1;1;1;2;4;0;0;0;0;0;0;0;100
552;4;4101;1;1;1;2;3;2;0;0;0;0;0;0;100
563;4;4101;1;1;1;2;2;2;0;0;0;0;0;0;100
687;4;4106;1;1;1;2;3;4;0;0;0;0;1;0;100
735;4;4301;1;1;1;2;0;2;0;0;0;0;0;1;100
835;4;4303;1;1;1;2;4;5;0;0;0;0;1;0;100
874;4;4302;1;1;1;2;1;1;0;0;0;0;0;0;100
883;4;4302;1;1;1;2;0;2;0;0;0;0;0;0;100
899;4;4304;1;1;1;2;0;1;0;0;0;0;0;0;100
917;4;4301;1;1;1;2;0;1;0;0;0;0;0;0;100
933;4;4304;1;1;1;2;1;0;0;0;0;0;0;0;100
948;4;4301;1;1;1;2;1;2;0;0;0;0;0;0;100
952;4;4301;1;1;1;2;0;1;0;0;0;0;0;0;100
962;4;4301;1;1;1;2;0;2;0;0;0;0;0;1;100
991;4;4201;2;1;1;2;1;1;0;0;0;0;0;0;100
996;4;4201;2;1;1;2;2;2;0;0;0;0;0;0;100
1008;4;4201;2;1;1;2;2;1;0;0;0;0;0;0;100
1064;4;4203;1;1;1;2;1;1;0;0;0;0;0;1;100
1069;4;4203;2;1;1;2;3;2;0;0;0;0;0;0;100
1080;4;4202;1;1;1;2;1;0;0;0;0;0;0;0;100
1084;4;4202;1;1;1;2;1;0;0;0;0;0;2;0;100
1085;4;4202;1;1;1;2;2;0;0;0;0;0;0;0;100
1102;4;4202;1;1;1;2;2;2;0;0;0;0;2;0;100
1113;4;4202;1;1;1;2;1;1;0;0;0;0;0;0;100
1153;5;5404;1;1;1;2;2;3;0;0;0;0;0;0;100
1182;5;5402;1;1;1;2;4;6;0;0;0;0;1;0;100
1237;5;5304;1;1;1;2;4;0;0;0;0;0;0;0;100
1504;5;5101;1;0;1;8;0;6;0;0;0;4;0;1;100
2297;6;6115;1;1;1;3;3;2;0;0;5;7;2;2;100
2377;6;6112;1;0;1;3;16;0;7;0;3;0;1;0;100
2377;6;6112;1;0;1;6;23;0;3;0;7;0;3;0;100
2396;6;6104;1;1;1;2;8;7;1;1;0;0;0;1;100
2448;6;6301;1;0;1;7;8;48;0;0;0;1;0;2;100
2549;6;6310;1;0;1;3;8;0;1;0;0;0;2;0;100
2572;6;6310;1;1;1;2;15;12;0;0;0;0;1;0;100
2609;6;6309;1;1;1;2;0;2;0;0;0;0;0;2;100
2622;6;6306;1;1;1;2;7;8;0;0;0;0;1;0;100
2874;7;7307;1;1;1;2;0;1;1;0;0;0;0;0;100
2916;7;7309;1;1;1;2;1;0;0;0;0;0;0;0;100
2997;7;7101;2;0;1;3;10;6;1;4;0;0;2;0;100
3092;7;7109;1;1;1;2;3;1;0;0;0;0;0;0;100
3119;7;7109;1;1;1;2;2;1;0;0;0;0;0;0;100
3123;7;7105;1;1;1;2;3;3;0;0;0;0;2;1;100
3129;7;7104;1;1;1;2;2;0;0;0;0;0;0;0;100
3186;7;7102;1;1;1;2;1;0;0;0;0;0;0;0;100
3232;7;7103;1;1;1;2;1;0;0;0;0;0;0;0;100
3274;7;7401;1;1;1;2;3;0;0;0;0;0;0;0;100
3286;7;7401;1;1;1;2;2;1;0;0;0;0;0;0;100
3344;7;7402;1;1;1;2;3;0;0;0;0;0;0;0;100
3367;7;7403;1;1;1;2;4;4;1;0;1;0;1;4;100
3384;7;7403;1;1;1;2;0;2;0;0;0;0;0;0;100
3451;7;7405;1;1;1;2;4;1;0;0;0;0;0;0;100
3502;7;7406;1;1;1;2;7;3;0;0;0;0;1;0;100
3518;7;7406;1;1;1;2;1;8;0;0;0;0;0;0;100
3523;7;7406;1;1;1;2;6;5;0;0;0;0;0;0;100
3526;7;7406;1;1;1;2;1;7;0;0;0;0;0;0;100
3527;7;7406;1;1;1;2;9;6;0;0;0;0;0;0;100
3733;16;16101;2;0;1;7;5;0;0;0;0;0;0;0;100
3747;16;16301;1;0;1;3;2;0;1;0;1;0;0;0;100
3747;16;16301;1;0;1;3;10;0;0;0;3;0;1;0;100
3766;16;16301;1;1;1;2;8;7;0;0;0;0;0;0;100
3791;16;16301;1;1;1;2;0;4;0;0;0;0;0;1;100
3850;16;16302;1;1;1;2;2;4;0;0;0;0;2;0;100
3870;16;16302;2;1;1;2;2;0;0;0;0;0;0;0;100
3886;16;16108;1;0;1;6;6;10;0;1;9;8;3;0;100
3891;16;16108;1;1;1;2;22;12;0;0;1;1;1;0;100
3938;16;16109;1;0;1;3;2;0;1;0;1;0;0;0;100
3938;16;16109;1;0;1;3;12;0;2;0;6;0;1;0;100
3938;16;16109;1;0;1;6;17;0;2;0;5;0;2;0;100
4073;16;16207;1;1;1;2;5;2;0;0;0;0;0;0;100
4074;16;16207;1;1;1;2;2;1;0;0;0;0;0;0;100
4081;16;16207;1;1;1;2;2;2;0;0;0;0;0;0;100
4094;16;16202;1;1;1;2;9;6;0;0;0;0;0;0;100
4116;16;16201;1;1;1;2;1;0;0;0;0;0;0;0;100
4322;8;8312;1;1;1;2;2;0;0;0;0;0;1;1;100
4323;8;8312;1;1;1;2;1;0;0;0;0;0;0;0;100
4347;8;8309;1;1;1;2;1;1;0;0;0;0;0;0;100
4386;8;8314;2;1;1;2;8;17;0;1;2;0;0;0;100
4395;8;8308;1;1;1;2;4;0;0;0;0;0;0;0;100
4403;8;8305;1;0;1;3;19;0;0;0;7;0;4;0;100
4412;8;8305;1;1;1;2;15;8;0;0;0;0;2;0;100
4421;8;8305;1;1;1;2;1;3;0;0;0;0;0;0;100
4426;8;8305;1;1;1;2;4;1;0;0;0;0;1;0;100
4432;8;8305;1;1;1;2;12;5;0;0;0;1;0;1;100
4441;8;8305;1;1;1;2;21;8;2;0;3;0;2;2;100
4476;8;8306;1;1;1;2;2;1;0;0;0;0;0;0;100
4859;8;8111;1;1;1;2;1;1;0;0;0;0;0;0;100
4911;8;8105;1;1;1;2;1;1;0;0;0;0;0;0;100
4913;8;8105;1;1;1;2;3;6;0;0;0;0;0;0;100
5036;8;8201;1;1;1;2;2;5;0;0;0;0;0;0;100
5062;8;8202;1;1;1;2;1;1;0;0;0;0;0;0;100
5099;8;8205;1;1;1;2;0;1;0;0;0;0;1;0;100
5103;8;8205;1;1;1;2;5;2;0;0;0;0;0;0;100
5162;8;8204;1;1;1;2;9;6;0;0;0;0;0;0;100
5168;8;8204;1;1;1;2;1;3;0;0;0;0;0;0;100
5189;8;8204;2;1;1;2;44;36;13;6;1;1;7;3;100
5351;9;9203;1;0;1;3;7;0;2;0;4;0;0;0;100
5362;9;9203;1;1;1;2;1;0;0;0;0;0;2;0;100
5364;9;9203;1;1;1;2;3;0;0;0;0;0;1;0;100
5365;9;9203;1;1;1;2;0;3;0;0;0;0;0;1;100
5368;9;9203;1;1;1;2;3;3;0;0;0;0;0;0;100
5403;9;9211;1;0;1;3;4;2;2;0;4;0;1;0;100
5403;9;9211;1;0;1;6;10;0;2;1;7;0;1;1;100
5415;9;9211;1;1;1;2;3;0;0;0;0;0;0;0;100
5424;9;9211;1;1;1;2;5;7;1;1;0;0;0;0;100
