RBD;EE_GRATUITO;SEP
1;1;374
2;1;118
3;1;0
4;1;862
5;1;664
7;1;1052
8;1;524
9;1;1176
10;1;137
11;1;340
12;1;268
13;1;249
14;1;193
15;1;339
16;1;196
17;1;306
18;1;297
19;1;296
20;1;414
22;1;922
25;1;596
26;1;156
27;1;225
28;1;306
29;1;436
30;1;0
31;1;352
32;1;598
33;1;169
35;1;77
36;1;225
38;1;493
39;1;21
41;1;20
42;1;16
43;1;26
45;1;689
49;1;27
50;1;464
52;1;3197
55;1;90
56;0;0
58;0;0
59;0;0
60;1;619
66;1;6
67;0;0
69;0;0
70;1;5
72;1;27
73;1;2
74;1;12
75;1;2
76;1;8
78;1;181
79;1;9
81;1;3
82;1;1
83;1;3
84;1;1
86;1;9
87;1;1
88;1;2
89;1;2
90;1;19
91;1;4
93;1;5
94;1;1
95;1;1
97;1;270
102;1;0
103;1;419
105;1;0
106;1;0
107;1;308
108;1;393
109;1;137
110;1;690
111;1;465
112;1;467
113;1;534
114;1;287
116;1;335
117;1;326
119;1;232
122;1;257
123;1;327
124;1;874
125;1;801
126;1;530
127;0;172
129;0;0
130;0;0
131;1;260
132;0;0
133;1;532
134;1;227
136;0;0
139;0;0
144;0;138
154;1;25
156;1;49
158;1;1
159;1;4
160;1;24
161;1;267
162;1;28
165;1;6
167;1;98
168;1;4
169;1;12
170;1;3
171;1;4
172;1;6
173;1;18
174;1;16
175;1;3
177;1;7
178;1;103
179;1;2
185;1;2
186;1;1
187;1;231
188;1;125
191;1;561
192;1;40
193;1;547
195;1;215
196;1;3
198;1;69
199;1;399
200;1;494
201;1;458
203;1;535
204;1;513
205;1;397
206;1;407
207;1;0
208;1;729
210;1;392
211;1;188
214;1;12
217;1;670
218;1;271
219;1;586
220;1;880
222;1;0
223;1;343
224;1;647
225;1;777
226;1;624
227;1;957
228;1;340
229;1;299
230;1;414
231;1;475
232;1;410
236;1;98
237;1;160
238;1;0
239;1;381
240;1;408
241;1;113
243;1;15
244;1;194
245;1;57
246;1;12
248;1;5
252;1;56
253;0;222
254;0;0
255;1;736
256;0;0
257;0;0
259;0;0
261;0;0
262;1;101
265;1;80
268;1;35
269;1;585
270;1;201
271;1;9
273;1;21
274;1;12
275;1;2
277;1;31
279;1;1514
280;1;1014
282;1;0
283;1;856
284;1;414
285;1;707
286;1;534
287;1;780
288;1;982
289;1;384
291;1;978
292;1;459
293;1;977
294;1;470
296;1;468
297;1;392
298;1;404
301;1;452
302;1;363
303;1;318
304;1;775
305;1;951
306;1;220
307;1;172
310;1;403
311;1;0
312;1;401
313;1;958
315;1;349
316;1;303
317;1;679
318;1;81
319;1;779
320;1;626
322;1;372
324;1;223
326;1;377
329;1;317
330;1;136
332;1;386
333;1;183
335;1;408
336;0;0
337;0;0
340;1;0
341;0;244
342;0;0
343;1;437
344;0;0
349;0;0
350;0;0
352;0;0
354;0;0
355;0;0
356;0;0
357;0;0
358;0;0
361;0;0
364;0;0
365;0;0
366;0;0
367;1;741
368;1;628
369;1;13
370;1;116
371;1;70
372;1;475
373;1;427
374;1;321
375;1;409
377;1;27
379;1;583
380;1;294
381;1;136
382;1;229
383;1;0
384;1;460
386;1;575
387;1;36
390;1;368
392;1;318
396;1;646
397;1;0
399;1;832
400;1;787
401;1;742
403;1;627
404;1;0
405;1;556
406;1;637
407;1;372
408;1;992
410;1;527
411;1;535
413;1;229
415;1;652
416;1;568
417;1;600
418;1;1013
419;1;699
420;1;713
421;1;854
423;1;220
427;1;323
429;0;326
430;0;607
431;0;329
433;0;373
434;1;702
437;0;358
438;1;360
439;1;4
440;1;1034
441;1;242
442;1;416
444;1;401
445;1;35
446;1;24
447;1;6
448;1;692
449;1;543
450;1;211
452;1;328
453;1;638
454;1;811
455;1;233
456;1;0
458;1;298
459;1;639
461;1;305
462;1;300
463;1;138
464;1;532
467;1;8
468;1;19
469;1;42
471;1;38
476;1;63
478;0;361
479;0;362
481;1;390
482;1;12
483;1;34
484;1;56
485;1;10
486;1;423
487;1;366
489;1;350
490;1;17
492;1;212
493;1;200
495;1;9
496;1;16
497;1;10
498;1;2
499;1;199
500;1;8
502;1;12
503;1;2
504;1;11
506;1;4
508;1;2
509;1;1
514;1;7
516;1;450
517;1;677
518;1;409
519;1;900
521;1;229
522;1;390
523;1;245
525;1;385
526;1;421
527;1;396
528;1;294
