,RBD,GRADO,PROM_GRAL
0,1,Media,5.539893617021277
1,4,Media,5.997102897102898
2,5,Basica,6.264150943396227
3,5,Media,5.979667282809612
4,7,Media,5.615111111111111
5,8,Basica,6.018148148148149
6,8,Media,5.4302752293577985
7,9,Basica,6.385606631499623
8,10,Basica,5.630281690140845
9,11,Basica,5.784918032786885
10,12,Basica,6.101851851851852
11,13,Basica,5.972649572649572
12,14,Basica,5.80495867768595
13,15,Basica,5.797769516728624
14,15,Media,5.361940298507463
15,16,Basica,5.8097345132743365
16,17,Basica,6.022377622377623
17,18,Basica,5.873701298701298
18,19,Basica,5.731636363636364
19,20,Basica,6.057828282828283
20,22,Basica,6.007737397420868
21,25,Basica,5.750225225225225
22,25,Media,5.392372881355932
23,26,Basica,6.051612903225807
24,27,Basica,5.851028806584362
25,28,Basica,6.324290220820189
26,29,Basica,5.76568848758465
27,31,Basica,6.196764705882353
28,32,Basica,6.0764344262295085
29,32,Media,5.668702290076336
30,33,Basica,6.048235294117648
31,35,Basica,6.141558441558441
32,36,Basica,6.132067510548523
33,38,Basica,6.055079006772009
34,39,Basica,5.898507462686567
35,41,Basica,6.238461538461538
36,42,Basica,5.55
37,45,Basica,6.063254113345521
38,45,Media,5.905703422053232
39,50,Basica,6.0969863013698635
40,50,Media,5.863181818181818
41,52,Basica,6.034929270946682
42,52,Media,5.645417396380619
43,56,Basica,6.054041204437401
44,56,Media,5.93953488372093
45,59,Basica,6.578405315614618
46,59,Media,6.230769230769231
47,60,Basica,5.747443762781186
48,60,Media,5.557564575645756
49,67,Basica,6.425999999999999
50,67,Media,6.204511278195489
51,69,Basica,6.420440881763527
52,69,Media,5.98894472361809
53,70,Basica,6.04
54,72,Basica,5.8108108108108105
55,72,Media,5.7125
56,73,Basica,6.25
57,74,Basica,6.083333333333333
58,75,Basica,6.2
59,76,Basica,6.442857142857143
60,78,Basica,5.829197080291971
61,78,Media,5.6
62,79,Basica,5.621428571428572
63,81,Basica,6.5
64,82,Basica,6.15
65,83,Basica,6.12
66,84,Basica,5.2
67,86,Basica,6.114285714285714
68,87,Basica,6.15
69,88,Basica,6.199999999999999
70,89,Basica,6.1
71,90,Basica,5.779310344827586
72,91,Basica,5.333333333333333
73,92,Basica,6.3
74,93,Basica,6.0200000000000005
75,94,Basica,5.6
76,95,Basica,6.3
77,97,Media,5.3949253731343285
78,103,Basica,5.900261096605744
79,103,Media,5.688571428571429
80,106,Basica,5.205128205128205
81,106,Media,5.265397923875432
82,107,Basica,5.0346153846153845
83,107,Media,5.469024390243903
84,108,Media,5.3042105263157895
85,109,Media,5.553811659192825
86,110,Basica,5.888729874776387
87,110,Media,5.574436090225563
88,111,Basica,5.930859375
89,112,Basica,5.840613718411552
90,113,Basica,5.696898263027295
91,114,Basica,6.023024830699774
92,116,Basica,5.909848484848485
93,117,Basica,5.954105263157895
94,119,Basica,5.813711583924349
95,122,Basica,5.764285714285714
96,123,Basica,6.018941504178273
97,124,Media,5.469298245614035
98,125,Basica,5.957313829787234
99,125,Media,5.378918918918919
100,126,Basica,5.67037037037037
101,127,Basica,6.249128367670364
102,127,Media,6.054480286738351
103,129,Basica,5.66875
104,129,Media,5.136923076923076
105,130,Basica,6.052573529411765
106,130,Media,5.7
