,RBD,GRADO,Matricula,Cant_Est_NEE,Cant_Est_Media_HC,Cant_Est_Media_TP,HH_DOCENTES
0,1,Media,408,0,0,408,1347.0
1,4,Media,1011,0,1011,0,1372.0
2,5,Basica,256,0,0,0,695.0
3,5,Media,551,0,551,0,1197.0
4,7,Media,1144,0,0,1144,2302.0
5,8,Basica,262,0,0,0,571.0
6,8,Media,332,0,332,0,758.0
7,9,Basica,1339,0,0,0,2806.0
8,10,Basica,134,0,0,0,464.0
9,11,Basica,318,0,0,0,1032.0
10,12,Basica,279,0,0,0,583.0
11,13,Basica,234,0,0,0,598.0
12,14,Basica,235,0,0,0,617.0
13,15,Basica,271,0,0,0,1083.0
14,15,Media,138,0,138,0,612.0
15,16,Basica,210,0,0,0,488.0
16,17,Basica,285,0,0,0,592.0
17,18,Basica,285,0,0,0,943.0
18,19,Basica,284,0,0,0,642.0
19,20,Basica,394,0,0,0,886.0
20,22,Basica,867,0,0,0,2199.0
21,25,Basica,455,0,0,0,1284.0
22,25,Media,123,0,123,0,364.0
23,26,Basica,157,0,0,0,391.0
24,27,Basica,240,0,0,0,543.0
25,28,Basica,319,0,0,0,756.0
26,29,Basica,428,0,0,0,1055.0
27,30,Basica,169,169,0,0,581.0
28,31,Basica,339,0,0,0,754.0
29,32,Basica,490,0,0,0,875.0
30,32,Media,133,0,0,133,336.0
31,33,Basica,172,0,0,0,499.0
32,35,Basica,81,0,0,0,182.0
33,36,Basica,231,0,0,0,803.0
34,38,Basica,442,0,0,0,825.0
35,39,Basica,69,0,0,0,134.0
36,41,Basica,26,0,0,0,86.0
37,42,Basica,24,0,0,0,87.0
38,45,Basica,572,0,0,0,700.0
39,45,Media,268,0,268,0,371.0
40,50,Basica,363,0,0,0,731.0
41,50,Media,217,0,217,0,392.0
42,52,Basica,1888,54,0,0,2779.0
43,52,Media,1727,0,1265,462,2426.0
44,56,Basica,628,0,0,0,894.0
45,56,Media,299,0,299,0,426.0
46,59,Basica,303,0,0,0,833.0
47,59,Media,145,0,145,0,439.0
48,60,Basica,501,0,0,0,768.0
49,60,Media,270,0,270,0,378.0
50,67,Basica,428,0,0,0,605.0
51,67,Media,132,0,132,0,189.0
52,69,Basica,507,0,0,0,886.0
53,69,Media,200,0,200,0,384.0
54,70,Basica,9,0,0,0,45.0
55,72,Basica,38,0,0,0,139.0
56,72,Media,18,0,0,18,114.0
57,73,Basica,2,0,0,0,43.0
58,74,Basica,12,0,0,0,45.0
59,75,Basica,2,0,0,0,43.0
60,76,Basica,9,0,0,0,50.0
61,78,Basica,138,0,0,0,642.0
62,78,Media,62,0,0,62,223.0
63,79,Basica,14,0,0,0,115.0
64,81,Basica,3,0,0,0,41.0
65,82,Basica,2,0,0,0,39.0
